ID,q1,q3,V0,c0,T0
138,4.030186721,4.575183521,0.0005,0.005150429,0.057914346
139,8.669208832,0.57872509,0.0005,0.005136203,0.052536429
140,7.53383513,5.090077244,0.0005,0.005101393,0.039251236
141,5.672287825,2.127482045,0.0005,0.005163527,0.062839415
142,1.578386505,7.988056405,0.0005,0.005137354,0.052972525
143,0.83196366,2.980340501,0.0005,0.005366449,0.136070363
144,1.43101084,0.285784059,0.0005,0.005758551,0.262952057
145,0.682110491,5.93839017,0.0005,0.005203282,0.077636012
146,1.295946997,8.439965885,0.0005,0.005135121,0.052126184
147,2.448826191,3.816351079,0.0005,0.005210029,0.080125059
148,7.200960567,7.501084524,0.0005,0.00508737,0.033847932
149,5.70619438,5.116303368,0.0005,0.005118766,0.045904137
150,0.370074454,5.414108532,0.0005,0.005236104,0.089683008
151,0.949544063,9.594748867,0.0005,0.005124685,0.048160691
152,9.68086646,8.041569306,0.0005,0.005072363,0.028032194
153,5.787953229,0.332907436,0.0005,0.005205333,0.078393481
154,2.230215913,7.09677864,0.0005,0.005140398,0.054125267
155,2.708399395,4.655364801,0.0005,0.005177832,0.068189715
156,7.501693359,9.476013925,0.0005,0.005075762,0.029352622
157,2.15352563,2.222113016,0.0005,0.005302989,0.113771133
158,5.917254771,2.678049477,0.0005,0.005148617,0.057230728
159,9.707623655,0.823924909,0.0005,0.005119797,0.046297629
160,8.506216851,4.291902098,0.0005,0.005099739,0.038615353
161,2.586709387,1.099097453,0.0005,0.00535245,0.131196844
162,5.063051816,6.341529739,0.0005,0.005113072,0.04372872
163,6.293665198,8.031602741,0.0005,0.00508984,0.034801571
164,8.332157397,6.971036956,0.0005,0.005083777,0.032458443
165,1.776712476,7.664451697,0.0005,0.005139056,0.053617333
166,0.428785924,3.431116657,0.0005,0.005368174,0.136669319
167,0.930506099,8.460056315,0.0005,0.005140577,0.054192933
168,4.990644291,4.293400062,0.0005,0.005138661,0.053467734
169,6.160776816,8.241858605,0.0005,0.005089392,0.034628642
170,5.795277022,6.268696625,0.0005,0.005106649,0.041268608
171,3.342661416,1.442796256,0.0005,0.005269414,0.101755894
172,9.888980455,0.79308513,0.0005,0.005118099,0.045649727
173,5.901517283,0.193143103,0.0005,0.005205844,0.078581869
174,3.954903532,0.676582726,0.0005,0.005273924,0.103378492
175,5.620678105,4.591252299,0.0005,0.005125808,0.048588126
176,7.516405568,1.142285808,0.0005,0.00514599,0.056239464
177,6.774234746,0.287555655,0.0005,0.005177881,0.068208002
178,2.831218998,7.551066199,0.0005,0.005125485,0.048465065
179,0.894546072,3.9545563,0.0005,0.005282217,0.106355417
180,3.856824131,7.471915571,0.0005,0.00511439,0.044232734
181,6.388865833,4.529524219,0.0005,0.005117389,0.04537852
182,2.297319822,4.506366603,0.0005,0.00519356,0.074038501
183,7.58877915,4.785944342,0.0005,0.005103372,0.04001138
184,0.896512608,4.745299226,0.0005,0.005240117,0.09114564
185,2.786314581,8.033601788,0.0005,0.005120374,0.046517573
186,8.095893057,4.029901273,0.0005,0.005105261,0.040736334
187,2.134067704,9.047814742,0.0005,0.00511676,0.045138119
188,6.48388688,0.380239869,0.0005,0.00518317,0.070178824
189,5.364406041,7.741004684,0.0005,0.005098382,0.038093593
190,9.266699041,1.265157398,0.0005,0.005120029,0.046385938
191,2.815392967,6.188950533,0.0005,0.005144958,0.055849703
192,0.890901182,0.113538971,0.0005,0.006298671,0.411863552
193,7.416263609,5.390886553,0.0005,0.005100009,0.038719109
194,7.77819444,0.040149387,0.0005,0.005160396,0.061664316
195,9.100985515,9.512425917,0.0005,0.005069026,0.026734344
196,9.336566028,9.054966317,0.0005,0.005069819,0.027042812
197,0.3836848,7.96170975,0.0005,0.00515965,0.061383914
198,2.53321104,9.153590456,0.0005,0.005111453,0.043108967
199,6.262678374,1.464126729,0.0005,0.005164193,0.06308901
200,9.50278798,1.585723398,0.0005,0.005114152,0.044141575
201,9.514098772,1.884440412,0.0005,0.005111171,0.043001102
202,5.676315109,6.228734064,0.0005,0.005108104,0.041826414
203,9.176961375,9.059036865,0.0005,0.00507042,0.02727679
204,6.504418831,9.899652232,0.0005,0.005078525,0.03042434
205,4.051125756,7.114113363,0.0005,0.005115974,0.04483805
206,4.987187621,7.320686087,0.0005,0.005104849,0.04057835
207,6.141086976,9.093839113,0.0005,0.005084556,0.032759828
208,5.607021876,4.014728586,0.0005,0.005133395,0.051471585
209,9.280093504,2.506008295,0.0005,0.005107747,0.041689809
210,9.207457893,1.742567406,0.0005,0.005115673,0.044723057
211,4.098599337,1.203375933,0.0005,0.005240832,0.091406079
212,9.641722357,8.127979774,0.0005,0.005072179,0.027960678
213,1.944104913,1.47645581,0.0005,0.005388968,0.14385711
214,1.479636809,2.650331852,0.0005,0.005328231,0.122704548
215,1.564966576,8.192700895,0.0005,0.005134599,0.051928144
216,5.179031476,3.112766645,0.0005,0.005154721,0.059530673
217,0.45754181,9.824350318,0.0005,0.005128305,0.049537849
218,9.492585927,2.673720634,0.0005,0.005104422,0.040414277
219,8.313965038,5.341196916,0.0005,0.005093677,0.036281695
220,0.394094562,3.151525442,0.0005,0.005406023,0.149711418
221,1.965955979,9.108620583,0.0005,0.005118,0.045611639
222,3.486032707,3.671900872,0.0005,0.005181498,0.069556184
223,1.525154322,4.341587349,0.0005,0.005227875,0.086677049
224,8.142081562,5.127803996,0.0005,0.005096382,0.037323843
225,3.609625335,9.389475909,0.0005,0.005099726,0.038610452
226,9.415905637,0.319180573,0.0005,0.005129237,0.049892156
227,5.923645042,7.17161785,0.0005,0.005098291,0.038058383
228,8.81832393,8.911279353,0.0005,0.005072436,0.028060502
229,8.485791902,0.282599363,0.0005,0.005143365,0.055247701
230,9.077350302,5.22529196,0.0005,0.005089354,0.03461406
231,4.732549166,3.26663822,0.0005,0.005160809,0.061819408
232,5.575803491,8.596298315,0.0005,0.00509097,0.035237609
233,8.035906458,5.589580344,0.0005,0.005093948,0.03638626
234,3.034061538,6.905376403,0.0005,0.005131001,0.050562518
