ID,q1,q3,V0,c0,T0
182,0.294786574,8.490501983,0.00275,0.006304694,0.411130084
183,1.029986606,7.392961039,0.00275,0.006265132,0.40111432
184,0.100157182,8.816211324,0.00275,0.006306714,0.41163825
185,0.362727937,9.424468944,0.00275,0.006062066,0.347647249
186,1.10044546,6.844844588,0.00275,0.006378757,0.429546467
187,0.27210418,9.743984446,0.00275,0.006030272,0.338949977
188,0.876471898,5.722395203,0.00275,0.007249511,0.617846701
189,0.720930242,9.108528191,0.00275,0.006022796,0.336891698
190,1.263118277,4.674601089,0.00275,0.007273122,0.6223247
191,0.366768114,8.88046764,0.00275,0.00617117,0.376811631
192,0.099377526,7.774672122,0.00275,0.006990035,0.566642062
193,1.006017144,7.737688781,0.00275,0.006195,0.383045067
194,1.056304134,4.916960387,0.00275,0.007839446,0.72164958
195,1.240093894,9.709412199,0.00275,0.005848499,0.287409669
196,1.272825658,9.418022719,0.00275,0.005874731,0.295044313
197,0.028904434,9.576550585,0.00275,0.006136105,0.367551813
198,0.327561508,9.760155501,0.00275,0.006013569,0.334343979
199,0.845736993,6.292112855,0.00275,0.006808603,0.528519843
200,1.295920683,4.684752832,0.00275,0.007197614,0.607900783
201,1.297492215,4.864061624,0.00275,0.007070069,0.582836549
202,0.764267163,8.460907301,0.00275,0.006125747,0.364796028
203,1.250650047,9.433428467,0.00275,0.005876521,0.295562908
204,0.879324626,9.95528162,0.00275,0.005877356,0.295804608
205,0.538461919,9.016223387,0.00275,0.006087153,0.354445943
206,0.668519181,8.985256572,0.00275,0.006056586,0.346154818
207,0.828842977,9.611412094,0.00275,0.005927763,0.310272881
208,0.7546395,7.575436625,0.00275,0.006341838,0.420419999
209,1.264979316,5.422421484,0.00275,0.006796436,0.525890493
210,1.25488726,5.007179625,0.00275,0.007043333,0.577467585
211,0.54505794,6.984848951,0.00275,0.006771058,0.520375986
212,1.315224348,8.789117677,0.00275,0.005942148,0.314356783
213,0.245710582,7.766384089,0.00275,0.006655065,0.49463517
214,0.181176974,8.195054214,0.00275,0.006488671,0.456102362
215,0.193032767,9.550728911,0.00275,0.006087715,0.35459745
216,0.695174136,7.336248144,0.00275,0.006454505,0.447944612
217,0.039166192,9.963068725,0.00275,0.006054509,0.345588309
218,1.294503201,5.379607907,0.00275,0.006786941,0.52383222
219,1.130744574,7.476701716,0.00275,0.006207447,0.38628169
220,0.030350775,8.574829058,0.00275,0.006441927,0.444919463
221,0.248746589,9.765714871,0.00275,0.006032629,0.339597836
222,0.459947392,7.981413957,0.00275,0.006375946,0.428855204
223,0.187501217,8.601332039,0.00275,0.006327696,0.416895836
224,1.106862932,7.411777707,0.00275,0.006230587,0.39226473
225,0.477119461,9.802358167,0.00275,0.005972453,0.322896085
226,1.283849174,3.967317392,0.00275,0.008043934,0.754077197
227,0.798631402,8.814809301,0.00275,0.006051605,0.344795739
228,1.200820644,9.374157964,0.00275,0.005891269,0.299822747
229,1.15461835,4.631801419,0.00275,0.007690897,0.697011551
230,1.236809996,7.163233564,0.00275,0.00623814,0.39420799
231,0.633139489,7.520609384,0.00275,0.00642862,0.441706288
232,0.75030199,9.43328061,0.00275,0.005967327,0.321457887
233,1.092110869,7.684596072,0.00275,0.006176686,0.378258736
234,0.397150119,9.065730763,0.00275,0.006120743,0.363461346
235,0.674295367,7.920382227,0.00275,0.006283455,0.405768893
236,0.82179672,8.416219783,0.00275,0.006116797,0.362407342
237,0.031047647,8.522958395,0.00275,0.006464694,0.450386388
238,0.81416954,5.803354942,0.00275,0.007417727,0.649128207
239,0.597633084,8.486950752,0.00275,0.006175905,0.378054163
240,1.103976553,6.354359192,0.00275,0.006536776,0.467443834
241,0.437157894,8.491789345,0.00275,0.006237488,0.394040628
242,1.219867558,9.511626494,0.00275,0.005872722,0.294462216
243,0.7929987,7.609479608,0.00275,0.006313231,0.413275006
244,0.259334515,8.003337124,0.00275,0.006510354,0.461235183
245,1.077647075,6.740326898,0.00275,0.006422395,0.440198446
246,0.839304546,9.705754355,0.00275,0.005913907,0.30632034
247,0.083047266,9.860590168,0.00275,0.006061022,0.347363317
248,0.579364016,9.451706201,0.00275,0.006002345,0.331234592
249,0.930140827,9.630778366,0.00275,0.005906978,0.304336931
250,1.254708863,5.337028278,0.00275,0.006850779,0.537561938
